Occupation Code,Title,Description,Sample Job Titles,Tasks,Knowledge,Skills,Abilities,Work Activities,Detailed Work Activities,Tools Used,Technology Used,Job Zone,Education Level,Experience Required,Job Training,SVP Range,Job Zone Examples,Interests,Work Styles,Work Values,Work Context,Additional Sources,Related Occupations,Annual 10th Percentile,Annual 25th Percentile,Annual Median Wage,Annual 75th Percentile,Annual 90th Percentile
15-2041.00,Statisticians,"Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields such as biostatistics, agricultural statistics, business statistics, or economic statistics. Includes mathematical and survey statisticians.","Database Analyst, Demographer, Education Research Analyst, Mathematical Statistician, Psychometric Consultant, Quantitative Methodologist, Statistical Analyst, Statistical Consultant, Statistical Reporting Analyst, Statistician","Analyze and interpret statistical data to identify significant differences in relationships among sources of information., Evaluate the statistical methods and procedures used to obtain data to ensure validity, applicability, efficiency, and accuracy., Report results of statistical analyses, including information in the form of graphs, charts, and tables., Determine whether statistical methods are appropriate, based on user needs or research questions of interest., Prepare data for processing by organizing information, checking for inaccuracies, and adjusting and weighting the raw data.","Mathematics, Computers and Electronics, English Language","Mathematics, Critical Thinking, Reading Comprehension, Active Listening, Complex Problem Solving","Mathematical Reasoning, Number Facility, Written Comprehension, Inductive Reasoning, Near Vision","Analyzing Data or Information, Working with Computers, Processing Information, Interpreting the Meaning of Information for Others, Making Decisions and Solving Problems","Determine appropriate methods for data analysis., Analyze data to identify trends or relationships among variables., Evaluate project designs to determine adequacy or feasibility., Prepare analytical reports., Evaluate technical data to determine effect on designs or plans.",Laptop computers,"IBM SPSS Statistics, Minitab, SAS, The MathWorks MATLAB, Microsoft PowerPoint, C++, Python, R, Sun Microsystems Java, Amazon Redshift, IBM DB2, Microsoft SQL Server, Structured query language SQL, Angoss KnowledgeSEEKER, NCR Teradata Warehouse Miner, SAS Enterprise Miner",Job Zone Five: Extensive Preparation Needed,"Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree).","Extensive skill, knowledge, and experience are needed for these occupations. Many require more than five years of experience. For example, surgeons must complete four years of college and an additional five to seven years of specialized medical training to be able to do their job.","Employees may need some on-the-job training, but most of these occupations assume that the person will already have the required skills, knowledge, work-related experience, and/or training.",(8.0 and above),"These occupations often involve coordinating, training, supervising, or managing the activities of others to accomplish goals. Very advanced communication and organizational skills are required. Examples include pharmacists, lawyers, astronomers, biologists, clergy, physician assistants, and veterinarians.","Investigative, Conventional","Analytical Thinking, Integrity, Attention to Detail, Dependability, Cooperation","Independence, Achievement, Recognition","E-Mail, Spend Time Sitting, Importance of Being Exact or Accurate, Telephone Conversations, Work With or Contribute to a Work Group or Team","American Statistical Association, American Academy of Actuaries, American Educational Research Association, American Mathematical Society, American Society of Human Genetics, Association for Institutional Research, Drug Information Association, International Biometric Society, National Council on Measurement in Education, SAS Users Groups","Bioinformatics Scientists (19-1029.01), Biostatisticians (15-2041.01), Clinical Data Managers (15-2051.02), Data Scientists (15-2051.00), Mathematicians (15-2021.00)",58690.0,78140,104110,134950,163360
53-7065.00,Stockers and Order Fillers,"Receive, store, and issue merchandise, materials, equipment, and other items from stockroom, warehouse, or storage yard to fill shelves, racks, tables, or customers' orders. May operate power equipment to fill orders. May mark prices on merchandise and set up sales displays.","Checker Stocker, Inventory Specialist, Inventory Technician (Inventory Tech), Label Maker, Marking Clerk, Order Filler, Order Picker, Stock Clerk, Stocker, Warehouse Technician (Warehouse Tech)","Complete order receipts., Answer customers' questions about merchandise and advise customers on merchandise selection., Issue or distribute materials, products, parts, and supplies to customers or coworkers, based on information from incoming requisitions., Keep records of out-going orders., Stock shelves, racks, cases, bins, and tables with new or transferred merchandise.","Customer and Personal Service, English Language","Active Listening, Reading Comprehension","Near Vision, Oral Comprehension, Trunk Strength, Extent Flexibility, Manual Dexterity","Handling and Moving Objects, Communicating with Supervisors, Peers, or Subordinates, Getting Information, Performing General Physical Activities, Identifying Objects, Actions, and Events","Prepare documentation for contracts, transactions, or regulatory compliance., Discuss goods or services information with customers or patrons., Calculate costs of goods or services., Distribute materials to employees or customers., Record shipping information.","Electric pallet jacks, Manual pallet jacks, Pallet tipper, Power jacks, Industrial forklifts, Sit-down forklifts, Stand-up forklifts, Warehouse forklifts, Label removers, Label scrapers, Hook knives, Safety cutters, Convertible hand trucks, Hand trucks","Microsoft Dynamics GP, Oracle JD Edwards EnterpriseOne, SAP software, Google Docs, Microsoft Word, Inventory management systems, Inventory tracking software, Ordering software, Email software, Microsoft Outlook, Handheld computer device software, Microsoft Windows",Job Zone Two: Some Preparation Needed,These occupations usually require a high school diploma.,"Some previous work-related skill, knowledge, or experience is usually needed. For example, a teller would benefit from experience working directly with the public.",Employees in these occupations need anywhere from a few months to one year of working with experienced employees. A recognized apprenticeship program may be associated with these occupations.,(4.0 to < 6.0),"These occupations often involve using your knowledge and skills to help others. Examples include orderlies, counter and rental clerks, customer service representatives, security guards, upholsterers, tellers, and dental laboratory technicians.","Conventional, Realistic, Enterprising","Attention to Detail, Dependability, Cooperation, Integrity, Independence","Relationships, Support, Independence","Face-to-Face Discussions with Individuals and Within Teams, Contact With Others, Indoors, Environmentally Controlled, Work With or Contribute to a Work Group or Team, Deal With External Customers or the Public in General","MHI, National Association of College Stores, Retail, Wholesale and Department Store Union, Warehousing Education and Research Council","Counter and Rental Clerks (41-2021.00), Laborers and Freight, Stock, and Material Movers, Hand (53-7062.00), Retail Salespersons (41-2031.00), Shipping, Receiving, and Inventory Clerks (43-5071.00), Weighers, Measurers, Checkers, and Samplers, Recordkeeping (43-5111.00)",29150.0,32160,36390,41370,48890
51-9195.03,"Stone Cutters and Carvers, Manufacturing",Cut or carve stone according to diagrams and patterns.,"Carver, Cutter, Granite Cutter, Polisher, Sandblast Carver, Sandblaster, Stone Carver, Stone Cutter, Stone Fabricator","Verify depths and dimensions of cuts or carvings to ensure adherence to specifications, blueprints, or models, using measuring instruments., Move fingers over surfaces of carvings to ensure smoothness of finish., Shape, trim, or touch up roughed-out designs with appropriate tools to finish carvings., Lay out designs or dimensions from sketches or blueprints on stone surfaces, freehand or by transferring them from tracing paper, using scribes or chalk and measuring instruments., Cut, shape, and finish rough blocks of building or monumental stone, according to diagrams or patterns.","Mathematics, Production and Processing, Mechanical, English Language, Administration and Management","Active Listening, Critical Thinking, Judgment and Decision Making","Arm-Hand Steadiness, Control Precision, Manual Dexterity, Near Vision, Finger Dexterity","Handling and Moving Objects, Controlling Machines and Processes, Operating Vehicles, Mechanized Devices, or Equipment, Communicating with Supervisors, Peers, or Subordinates, Making Decisions and Solving Problems","Measure dimensions of completed products or workpieces to verify conformance to specifications., Inspect finishes of workpieces or finished products., Review blueprints or other instructions to determine operational methods or sequences., Engrave designs, text, or other markings onto materials, workpieces, or products., Trim excess material from workpieces.","Cup chisels, Flat chisels, Frosting chisels, Point chisels, Bush hammers, Lump hammers, Granite saws, Stone saws, Pneumatic chisels, Pneumatic hammers, Rubbing stones","Microsoft Excel, Corel Paint Shop Pro, Microsoft Word, Timekeeping software, Inventory control software",Job Zone Two: Some Preparation Needed,These occupations usually require a high school diploma.,"Some previous work-related skill, knowledge, or experience is usually needed. For example, a teller would benefit from experience working directly with the public.",Employees in these occupations need anywhere from a few months to one year of working with experienced employees. A recognized apprenticeship program may be associated with these occupations.,(4.0 to < 6.0),"These occupations often involve using your knowledge and skills to help others. Examples include orderlies, counter and rental clerks, customer service representatives, security guards, upholsterers, tellers, and dental laboratory technicians.","Realistic, Artistic, Conventional","Attention to Detail, Self-Control, Dependability, Integrity, Cooperation","Support, Achievement, Working Conditions","Exposed to Contaminants, Spend Time Standing, Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls, Exposed to Sounds, Noise Levels that are Distracting or Uncomfortable, Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets",Natural Stone Institute,"Grinding and Polishing Workers, Hand (51-9022.00), Molders, Shapers, and Casters, Except Metal and Plastic (51-9195.00), Stonemasons (47-2022.00), Terrazzo Workers and Finishers (47-2053.00), Tile and Stone Setters (47-2044.00)",32540.0,37150,43310,49330,59740
47-2022.00,Stonemasons,"Build stone structures, such as piers, walls, and abutments. Lay walks, curbstones, or special types of masonry for vats, tanks, and floors.","Mason, Stone Derrickman, Stone Mason, Stone Setter","Lay out wall patterns or foundations, using straight edge, rule, or staked lines., Shape, trim, face and cut marble or stone preparatory to setting, using power saws, cutting equipment, and hand tools., Set vertical and horizontal alignment of structures, using plumb bob, gauge line, and level., Mix mortar or grout and pour or spread mortar or grout on marble slabs, stone, or foundation., Remove wedges, fill joints between stones, finish joints between stones, using a trowel, and smooth the mortar to an attractive finish, using a tuck pointer.","Mathematics, Building and Construction, Public Safety and Security, Design, Mechanical","Critical Thinking, Coordination, Time Management, Complex Problem Solving, Judgment and Decision Making","Static Strength, Trunk Strength, Arm-Hand Steadiness, Manual Dexterity, Near Vision","Handling and Moving Objects, Performing General Physical Activities, Communicating with Supervisors, Peers, or Subordinates, Coordinating the Work and Activities of Others, Training and Teaching Others","Mark reference points on construction materials., Cut tile, stone, or other masonry materials., Align masonry materials., Apply mortar., Mix substances or compounds needed for work activities.","Angle chisels, Cape chisels, Flat chisels, Hand tracers, Buttering trowels, Margin trowels, Pointing trowels, Tuck pointers, 12 pound sledge hammers, Bush hammers, Cross pein sledge hammers, Stone mason's hammers, Drum mortar mixers, Electric mortar mixers, Horizontal shaft mixers, Mixing drills, Circular saws, Concrete saws, Masonry saws, Wet stone saws","Microsoft Excel, Gregg Software Gregg Rock-It, ProEst Software ProEst Estimating, Tradesman&apos;s Software Master Estimator, Intuit QuickBooks, Citrix cloud computing software, SAP software",Job Zone Three: Medium Preparation Needed,"Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree.","Previous work-related skill, knowledge, or experience is required for these occupations. For example, an electrician must have completed three or four years of apprenticeship or several years of vocational training, and often must have passed a licensing exam, in order to perform the job.",Employees in these occupations usually need one or two years of training involving both on-the-job experience and informal training with experienced workers. A recognized apprenticeship program may be associated with these occupations.,(6.0 to < 7.0),"These occupations usually involve using communication and organizational skills to coordinate, supervise, manage, or train others to accomplish goals. Examples include hydroelectric production managers, desktop publishers, electricians, agricultural technicians, barbers, court reporters and simultaneous captioners, and medical assistants.",Realistic,"Dependability, Achievement/Effort, Initiative, Persistence, Leadership","Independence, Support, Working Conditions","Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets, Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls, Outdoors, Exposed to All Weather Conditions, Freedom to Make Decisions, Face-to-Face Discussions with Individuals and Within Teams","Associated Builders and Contractors, Associated General Contractors of America, Concrete Masonry and Hardscapes Association, Home Builders Institute, International Masonry Institute, International Union of Bricklayers and Allied Craftworkers, Mason Contractors Association of America, National Association of Home Builders, National Center for Construction Education and Research, National Terrazzo and Mosaic Association","Brickmasons and Blockmasons (47-2021.00), Cement Masons and Concrete Finishers (47-2051.00), Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters (47-3011.00), Stone Cutters and Carvers, Manufacturing (51-9195.03), Terrazzo Workers and Finishers (47-2053.00)",36530.0,45940,51830,64700,80850
47-2221.00,Structural Iron and Steel Workers,"Raise, place, and unite iron or steel girders, columns, and other structural members to form completed structures or structural frameworks. May erect metal storage tanks and assemble prefabricated metal buildings.","Fitter, Iron Worker, Ironworker, Steel Fabricator, Steel Worker, Structural Steel Erector, Tower Hand","Read specifications or blueprints to determine the locations, quantities, or sizes of materials required., Connect columns, beams, and girders with bolts, following blueprints and instructions from supervisors., Bolt aligned structural steel members in position for permanent riveting, bolting, or welding into place., Fasten structural steel members to hoist cables, using chains, cables, or rope., Hoist steel beams, girders, or columns into place, using cranes or signaling hoisting equipment operators to lift and position structural steel members.","Building and Construction, Mechanical, Mathematics, Public Safety and Security, Administration and Management","Coordination, Operation and Control, Operations Monitoring, Active Listening, Critical Thinking","Multilimb Coordination, Static Strength, Arm-Hand Steadiness, Manual Dexterity, Near Vision","Handling and Moving Objects, Inspecting Equipment, Structures, or Materials, Performing General Physical Activities, Getting Information, Communicating with Supervisors, Peers, or Subordinates","Review blueprints or specifications to determine work requirements., Install metal structural components., Operate cranes, hoists, or other moving or lifting equipment., Signal equipment operators to indicate proper equipment positioning., Verify alignment of structures or equipment.","Flat head screwdrivers, Phillips head screwdrivers, Robertson screwdrivers, Laser levels, Torpedo levels, Welding helmets, Welding hoods, Center punches, Drift pins, Protective harnesses, Safety belts","Microsoft Outlook, Cost estimating software, Project scheduling software, Turtle Creek Software Goldenseal, Inventory tracking software",Job Zone Two: Some Preparation Needed,These occupations usually require a high school diploma.,"Some previous work-related skill, knowledge, or experience is usually needed. For example, a teller would benefit from experience working directly with the public.",Employees in these occupations need anywhere from a few months to one year of working with experienced employees. A recognized apprenticeship program may be associated with these occupations.,(4.0 to < 6.0),"These occupations often involve using your knowledge and skills to help others. Examples include orderlies, counter and rental clerks, customer service representatives, security guards, upholsterers, tellers, and dental laboratory technicians.","Realistic, Conventional","Attention to Detail, Dependability, Self-Control, Cooperation, Initiative","Support, Relationships, Working Conditions","Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets, Exposed to Sounds, Noise Levels that are Distracting or Uncomfortable, Outdoors, Exposed to All Weather Conditions, Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls, Exposed to High Places","American Welding Society, Associated Builders and Contractors, Associated General Contractors of America, Association for Iron and Steel Technology, International Association of Bridge, Structural, Ornamental and Reinforcing Iron Workers, National Center for Construction Education and Research, National Commission for the Certification of Crane Operators, National Institute of Steel Detailing","Carpenters (47-2031.00), Millwrights (49-9044.00), Reinforcing Iron and Rebar Workers (47-2171.00), Sheet Metal Workers (47-2211.00), Structural Metal Fabricators and Fitters (51-2041.00)",40510.0,48860,62760,80040,105010
51-2041.00,Structural Metal Fabricators and Fitters,"Fabricate, position, align, and fit parts of structural metal products.","Fabricator, Fitter, Layout Man, Metal Fabricator, Mill Beam Fitter, Ship Fitter, Small Parts Fabricator, Steel Fabricator, Structural Planner, Structural Steel Fitter","Verify conformance of workpieces to specifications, using squares, rulers, and measuring tapes., Study engineering drawings and blueprints to determine materials requirements and task sequences., Position, align, fit, and weld parts to form complete units or subunits, following blueprints and layout specifications, and using jigs, welding torches, and hand tools., Lay out and examine metal stock or workpieces to be processed to ensure that specifications are met., Tack-weld fitted parts together.","Mathematics, Mechanical, Production and Processing, English Language","Active Listening, Critical Thinking, Reading Comprehension, Speaking","Arm-Hand Steadiness, Near Vision, Control Precision, Manual Dexterity, Multilimb Coordination","Communicating with Supervisors, Peers, or Subordinates, Controlling Machines and Processes, Handling and Moving Objects, Inspecting Equipment, Structures, or Materials, Getting Information","Measure dimensions of completed products or workpieces to verify conformance to specifications., Align parts or workpieces to ensure proper assembly., Operate welding equipment., Read work orders or other instructions to determine product specifications or materials requirements., Review blueprints or other instructions to determine operational methods or sequences.","Drill presses, Magnetic drill presses, Radial drills, Center punches, Drift pins, Punches, Beverly shears, Hand shears, Unishears, Computerized numerical control CNC press brakes, Straightening presses, Hand torch welders, Welding torches","Microsoft Excel, Computer aided design and drafting CADD software, Dassault Systemes CATIA, Tekla software, Three-dimensional modeling software, Microsoft Outlook, Microsoft Office software, Microsoft Word",Job Zone Two: Some Preparation Needed,These occupations usually require a high school diploma.,"Some previous work-related skill, knowledge, or experience is usually needed. For example, a teller would benefit from experience working directly with the public.",Employees in these occupations need anywhere from a few months to one year of working with experienced employees. A recognized apprenticeship program may be associated with these occupations.,(4.0 to < 6.0),"These occupations often involve using your knowledge and skills to help others. Examples include orderlies, counter and rental clerks, customer service representatives, security guards, upholsterers, tellers, and dental laboratory technicians.","Realistic, Conventional","Attention to Detail, Dependability, Cooperation, Independence, Self-Control","Support, Working Conditions, Relationships","Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets, Exposed to Sounds, Noise Levels that are Distracting or Uncomfortable, Face-to-Face Discussions with Individuals and Within Teams, Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls, Exposed to Contaminants","American Welding Society, Fabricators and Manufacturers Association, International Association of Bridge, Structural, Ornamental and Reinforcing Iron Workers, International Brotherhood of Boilermakers, IPC, Metal Treating Institute, United Steelworkers","Aircraft Structure, Surfaces, Rigging, and Systems Assemblers (51-2011.00), Layout Workers, Metal and Plastic (51-4192.00), Sheet Metal Workers (47-2211.00), Structural Iron and Steel Workers (47-2221.00), Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders (51-4122.00)",36180.0,41180,48480,57520,66500
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,"Counsel and advise individuals with alcohol, tobacco, drug, or other problems, such as gambling and eating disorders. May counsel individuals, families, or groups or engage in prevention programs.","Addictions Counselor, Case Manager, Certified Alcohol and Drug Counselor (ADAC), Chemical Dependency Counselor (CD Counselor), Chemical Dependency Professional, Clinical Counselor, Counselor, Drug and Alcohol Treatment Specialist (DATS), Prevention Specialist, Substance Abuse Counselor (SA Counselor)","Complete and maintain accurate records or reports regarding the patients' histories and progress, services provided, or other required information., Counsel clients or patients, individually or in group sessions, to assist in overcoming dependencies, adjusting to life, or making changes., Assess individuals' degree of drug dependency by collecting and analyzing urine samples., Follow progress of discharged patients to determine effectiveness of treatments., Conduct chemical dependency program orientation sessions.","Therapy and Counseling, Psychology, Education and Training, Customer and Personal Service, English Language","Active Listening, Speaking, Critical Thinking, Social Perceptiveness, Monitoring","Oral Expression, Problem Sensitivity, Speech Clarity, Deductive Reasoning, Inductive Reasoning","Getting Information, Identifying Objects, Actions, and Events, Processing Information, Making Decisions and Solving Problems, Assisting and Caring for Others","Maintain client records., Write reports or evaluations., Counsel clients or patients with substance abuse issues., Monitor clients to evaluate treatment progress., Administer drug screening tests.","Personal digital assistants PDA, Breathalyzers","Email software, IBM Lotus Notes, Microsoft Outlook, Microsoft PowerPoint, Addison Health Systems WritePad EHR, Athena Software Penelope Case Management, STI Computer Services ChartMaker, Varian Medical Systems, Database software, Economic Analysis Group EAG CaseTrack, Online informational database software, Microsoft Excel",Job Zone Five: Extensive Preparation Needed,"Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree).","Extensive skill, knowledge, and experience are needed for these occupations. Many require more than five years of experience. For example, surgeons must complete four years of college and an additional five to seven years of specialized medical training to be able to do their job.","Employees may need some on-the-job training, but most of these occupations assume that the person will already have the required skills, knowledge, work-related experience, and/or training.",(8.0 and above),"These occupations often involve coordinating, training, supervising, or managing the activities of others to accomplish goals. Very advanced communication and organizational skills are required. Examples include pharmacists, lawyers, astronomers, biologists, clergy, physician assistants, and veterinarians.","Social, Investigative, Conventional","Concern for Others, Integrity, Dependability, Stress Tolerance, Self-Control","Relationships, Achievement, Independence","Indoors, Environmentally Controlled, Contact With Others, Telephone Conversations, Face-to-Face Discussions with Individuals and Within Teams, Work With or Contribute to a Work Group or Team","Addiction Technology Transfer Center Network, American Academy of Health Care Providers in the Addictive Disorders, American Association for Marriage and Family Therapy, American Correctional Association, American Counseling Association, American Psychological Association, Association for Behavioral and Cognitive Therapies, Employee Assistance Professionals Association, International Certification and Reciprocity Consortium, International Profession Certification Association","Healthcare Social Workers (21-1022.00), Marriage and Family Therapists (21-1013.00), Mental Health and Substance Abuse Social Workers (21-1023.00), Mental Health Counselors (21-1014.00), Rehabilitation Counselors (21-1015.00)",36700.0,44600,53710,70130,89920
25-3031.00,"Substitute Teachers, Short-Term","Teach students on a short-term basis as a temporary replacement for a regular classroom teacher, typically using the regular teacher's lesson plan.",,"Answer students' questions., Assist students with boarding or exiting school buses., Attend professional meetings, educational conferences, or teacher training workshops to improve professional competence., Counsel students with adjustment or academic problems., Distribute or collect tests or homework assignments.",,,,,"Teach classes in area of specialization., Distribute instructional or library materials., Supervise school or student activities., Advise students on academic or career matters., Assist patrons with entering or exiting vehicles or other forms of transportation.",,"Microsoft Excel, Common Curriculum, EasyCBM, Moodle, Schoology, Nearpod, Seesaw, Microsoft Outlook, Google Meet",Job Zone Four: Considerable Preparation Needed,"Most of these occupations require a four-year bachelor's degree, but some do not.","A considerable amount of work-related skill, knowledge, or experience is needed for these occupations. For example, an accountant must complete four years of college and work for several years in accounting to be considered qualified.","Employees in these occupations usually need several years of work-related experience, on-the-job training, and/or vocational training.",(7.0 to < 8.0),"Many of these occupations involve coordinating, supervising, managing, or training others. Examples include real estate brokers, sales managers, database administrators, graphic designers, conservation scientists, art directors, and cost estimators.","Social, Conventional",,,,"American Association of Colleges for Teacher Education, American Educational Research Association, American Federation of Teachers, AFL-CIO, American Montessori Society, Association for Middle Level Education, Association of American Educators, Childhood Education International, Mid-Atlantic Association of IB World Schools, Mid-Western Educational Research Association, National Association for Bilingual Education","Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors (25-3011.00), Kindergarten Teachers, Except Special Education (25-2012.00), Special Education Teachers, Elementary School (25-2056.00), Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education (25-9042.00), Tutors (25-3041.00)",24420.0,29880,37380,48590,63140
53-4041.00,Subway and Streetcar Operators,"Operate subway or elevated suburban trains with no separate locomotive, or electric-powered streetcar, to transport passengers. May handle fares.","Combined Rail Operator, Light Rail Operator, Light Rail Train Operator, Light Rail Vehicle Operator (LRV Operator), Rail Operator, Rapid Transit Operator (RTO), Streetcar Operator, Train Operator, Transit Operator, Trolley Operator","Monitor lights indicating obstructions or other trains ahead and watch for car and truck traffic at crossings to stay alert to potential hazards., Operate controls to open and close transit vehicle doors., Drive and control rail-guided public transportation, such as subways, elevated trains, and electric-powered streetcars, trams, or trolleys, to transport passengers., Report delays, mechanical problems, and emergencies to supervisors or dispatchers, using radios., Regulate vehicle speed and the time spent at each stop to maintain schedules.","Transportation, Public Safety and Security, Customer and Personal Service, English Language","Operation and Control, Operations Monitoring, Active Listening, Speaking, Monitoring","Control Precision, Multilimb Coordination, Reaction Time, Auditory Attention, Far Vision","Operating Vehicles, Mechanized Devices, or Equipment, Identifying Objects, Actions, and Events, Getting Information, Performing for or Working Directly with the Public, Inspecting Equipment, Structures, or Materials","Monitor surroundings to detect potential hazards., Monitor traffic signals., Monitor vehicle movement or location., Drive passenger vehicles., Notify others of emergencies, problems, or hazards.","Trolley bell foot pedals, Whistle pulls, Streetcars, Trolleys, Portable two way radios, Customer-to-operator two-way communication systems, Track switches",Microsoft Office software,Job Zone Two: Some Preparation Needed,These occupations usually require a high school diploma.,"Some previous work-related skill, knowledge, or experience is usually needed. For example, a teller would benefit from experience working directly with the public.",Employees in these occupations need anywhere from a few months to one year of working with experienced employees. A recognized apprenticeship program may be associated with these occupations.,(4.0 to < 6.0),"These occupations often involve using your knowledge and skills to help others. Examples include orderlies, counter and rental clerks, customer service representatives, security guards, upholsterers, tellers, and dental laboratory technicians.","Realistic, Conventional","Dependability, Stress Tolerance, Self-Control, Attention to Detail, Integrity","Support, Relationships, Working Conditions","In an Enclosed Vehicle or Operate Enclosed Equipment, Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls, Duration of Typical Work Week, Importance of Being Exact or Accurate, Contact With Others","Amalgamated Transit Union, American Public Transportation Association, International Association of Sheet Metal, Air, Rail and Transportation Workers, Transport Workers Union of America AFL-CIO","Bus Drivers, Transit and Intercity (53-3052.00), Locomotive Engineers (53-4011.00), Railroad Brake, Signal, and Switch Operators and Locomotive Firers (53-4022.00), Railroad Conductors and Yardmasters (53-4031.00), Taxi Drivers (53-3054.00)",54690.0,73570,84270,84310,87110
11-3071.04,Supply Chain Managers,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.","Global Supply Chain Director, Material Requirements Planning Manager, Solution Design and Analysis Manager, Supply Chain Director, Supply Chain Manager","Determine appropriate equipment and staffing levels to load, unload, move, or store materials., Manage activities related to strategic or tactical purchasing, material requirements planning, controlling inventory, warehousing, or receiving., Select transportation routes to maximize economy by combining shipments or consolidating warehousing and distribution., Define performance metrics for measurement, comparison, or evaluation of supply chain factors, such as product cost or quality., Implement new or improved supply chain processes to improve efficiency or performance.","Transportation, Administration and Management, English Language, Economics and Accounting, Customer and Personal Service","Active Listening, Coordination, Judgment and Decision Making, Monitoring, Reading Comprehension","Oral Comprehension, Oral Expression, Written Comprehension, Written Expression, Deductive Reasoning","Establishing and Maintaining Interpersonal Relationships, Communicating with Supervisors, Peers, or Subordinates, Making Decisions and Solving Problems, Developing and Building Teams, Analyzing Data or Information","Estimate cost or material requirements., Estimate labor requirements., Manage inventories of products or organizational resources., Develop operating strategies, plans, or procedures., Develop procedures to evaluate organizational activities.","Radio frequency identification RFID scanners, Laptop computers, Laser facsimile machines","Microsoft Dynamics, Oracle JD Edwards EnterpriseOne, Oracle PeopleSoft, SAP software, Microsoft PowerPoint, Infor Lawson Supply Chain Management, Oracle e-Business Suite Supply Chain Management, SAP SCM, Swisslog WarehouseManager, Minitab, SAP APO, Simulation and modeling software, Microsoft Access, Microsoft SQL Server, Structured query language SQL",Job Zone Four: Considerable Preparation Needed,"Most of these occupations require a four-year bachelor's degree, but some do not.","A considerable amount of work-related skill, knowledge, or experience is needed for these occupations. For example, an accountant must complete four years of college and work for several years in accounting to be considered qualified.","Employees in these occupations usually need several years of work-related experience, on-the-job training, and/or vocational training.",(7.0 to < 8.0),"Many of these occupations involve coordinating, supervising, managing, or training others. Examples include real estate brokers, sales managers, database administrators, graphic designers, conservation scientists, art directors, and cost estimators.","Enterprising, Conventional","Leadership, Attention to Detail, Integrity, Cooperation, Analytical Thinking","Independence, Working Conditions, Support","E-Mail, Telephone Conversations, Face-to-Face Discussions with Individuals and Within Teams, Duration of Typical Work Week, Work With or Contribute to a Work Group or Team","Association for Supply Chain Management, Council of Logistics Engineering Professionals, Council of Supply Chain Management Professionals, Institute for Supply Management","Industrial Production Managers (11-3051.00), Logisticians (13-1081.00), Logistics Analysts (13-1081.02), Logistics Engineers (13-1081.01), Transportation, Storage, and Distribution Managers (11-3071.00)",58810.0,76120,99200,133090,175530
29-1249.00,"Surgeons, All Other",All surgeons not listed separately.,,,,,,,,,,,,,,,,,,,,"American Academy of Family Physicians, American Association of Colleges of Osteopathic Medicine, American Board of Physician Specialties, American College of Obstetricians and Gynecologists, American College of Physicians, American College of Surgeons, American Medical Association, American Osteopathic Association, Association of American Medical Colleges, Federation of State Medical Boards",,78000.0,120000,"239,200+","239,200+","239,200+"
